roundNo	questionNo	questionText	imageUrl	answerText
Round 4 Player 1	Question 1	While it is also known as the Viking Helmet sign, the radiological appearance in Corpus Callosum Dysgenesis is also named _____ (5) Head appearance. **Which animal** (5), the only species in the genus Alces, is it named after? An alternate name of the animal (3) will also be accepted.	https://i.imgur.com/NbUW0MW.png	**Moose** (Accept: **Elk**) <br> <img src='https://i.imgur.com/v6r4Pho.png' height='400px'>
Round 4 Player 1	Question 2	**What 6-letter contronymous verb** can mean EITHER to show something, typically on the TV or in a cinema OR to hide or protect something from view?		**Screen**
Round 4 Player 2	Question 1	Apt considering it's named after a creek in California, **which company's** website's beautifully illustrated 404 page tells you that "These are uncharted waters."? The creek in turn is named after a clay-based building material.	https://i.imgur.com/723bz6h.jpg	**Adobe**
Round 4 Player 2	Question 2	In 2018, Royal Ascot made the headlines when its new style guide explicitly prohibited dresses with this kind of off-the-shoulder neckline, which had seen a surge in popularity thanks to the Duchess of Sussex. This style is named after **which sex symbol** of the 50s, once an aspiring ballerina nicknamed Bichette ('little doe')? 	https://i.imgur.com/sp9gnDx.png	Brigitte  **Bardot** (Accept: **B.B.**)
Round 4 Player 3	Question 1	**Which 2013 biopic** based on a 2001 memoir were these costumes by Sandy Powell created for? While the two costume design ideas on the left were created for the titular *wild* protagonist, the two on the right were created for his partner-in-crime and member of the *pack*.	https://i.imgur.com/HqkjDBh.png	The **Wolf of Wall Street** <br> <img src='https://i.imgur.com/9yEfrRw.png' height='400px'>
Round 4 Player 3	Question 2	The duo of Arsalan Aafreen (better known as Aatankki) and Tufail Nazir have been climbing Indian charts with their creations that mostly talk about the violence their region has endured for years. Their origin is embedded in their stage name SOS, while also being a nod to a pioneering album from 1988. **What does SOS here stand for**?		**Straight Outta Srinagar**; The album being Straight Outta Compton.
Round 4 Player 4	Question 1	**Which retired Formula One driver** finished runner up at the 2009 Race of Champions held in Beijing? This seven-time world champion retired in 2012 after a brief stint at Mercedes.		Michael **Schumacher**
Round 4 Player 4	Question 2	One of the earliest examples of archaeological fraud, **what forged Roman decree** was used by the papacy during the Middle Ages to claim political authority with the Holy Roman Empire? Composed probably in the 8th century, it was identified as a forgery in the 15th century and forms the subject of this painting from Raphael’s workshop. A brief explanation will be accepted.	https://i.imgur.com/dofCsik.jpeg	**Donation of Constantine** (Accept: Equivalent answers that mention Constantine); It purported to record the first Christian Roman emperor Constantine's bestowal of territory and political power on Pope Sylvester I after the pope cured the emperor of leprosy.
Round 5 Player 1	Question 1	**Which soup**, classically based on a strained broth of crustaceans, does Jerry Seinfeld order at the Soup Nazi's stand? A smooth, creamy soup of French origin, its name is believed to reference that the seafood protein is *twice cooked*. 	https://i.imgur.com/fvPY6Fe.jpg	**Bisque** (Accept: **Crab Bisque**, which is what Seinfeld - and later George - orders.)
Round 5 Player 1	Question 2	**Which website**, conceived by Drew Houston after repeatedly forgetting his USB drive in college, previously used this MC Escher inspired object to indicate that nothing could possibly be stored here? 	https://i.imgur.com/nSyHw9W.png	**Dropbox**
Round 5 Player 2	Question 1	**Which 7-letter contronymous verb** can mean EITHER to deal with a problem or hardship successfully OR to show signs of wear and tear as a result of facing difficulties?		**Weather**
Round 5 Player 2	Question 2	The largest publicly available database of emails is a corpus of over 600,000 emails from **which US firm** that was under investigation in the early 2000s? This was later used to train AI on human social networks, corporate language etc., and was pivotal in the development of Siri and GMail features. The contents of these emails often indicated the firm's employees weren't *the smartest guys in the room*.		**Enron**; The 2005 documentary about its downfall was titled Enron: The Smartest Guys in the Room.
Round 5 Player 3	Question 1	Such dresses, typically off-the-shoulder, flare at or below the knees and end in a key element - alluring, richly decorated tails - thus lending the wearer a mythical aura. **What are they called**?	https://i.imgur.com/n5LdkG1.png	**Mermaid** Dress
Round 5 Player 3	Question 2	**What nickname** referring to an entity from a different continent was given to the duo of H.R. Haldeman and John Ehrlichman? It was as a play on their ancestry and their shared penchant for forming *a protective shield* around Nixon and serving as his *gatekeepers*. They were later imprisoned for their roles in the Watergate cover-up.		**Berlin Wall**
Round 5 Player 4	Question 1	Here we see a recurring motif on a ceramic vessel of the Moche civilisation, which flourished in the first centuries AD in the northwest of a present-day country. During the same era, the arid valleys in its southern coast were being decorated by **which civilisation** with a giant version of the same creature, along with several companions, including a condor and a hummingbird?	https://i.imgur.com/pCMJF3r.png	**Nazca**; The country is Peru. <br> <img src='https://i.imgur.com/DUGiClB.jpg' height='400px'>
Round 5 Player 4	Question 2	**Which country** served as Hergé's primary inspiration for the fictional nation of San Theodoros, which became independent in 1830 as a result of the actions of General Olivaro? In The Broken Ear, San Theodoros is engaged in the Gran Chapo War with its neighbour Nuevo Rico - an allusion to the Chaco War fought by this country and Paraguay in the 1930s.		**Bolivia**; General Olivaro is supposed to be a riff on Simon Bolivar.
Round 6 Player 1	Question 1	 **Which 2004 biographical film**, based on a 1993 non-fiction book about the fascinating, bizarre, *high-flying* life of a famous personality and his descent into madness, was this costume design by Sandy Powell made for? The subject of this film designed and built the H-4 Hercules, the largest vessel of its kind built to-date.	https://i.imgur.com/PDoBsLY.png	The **Aviator**; The subject is Howard Hughes. <br> <img src='https://i.imgur.com/QnuUDvc.png' height='400px'>
Round 6 Player 1	Question 2	For her Turbine Hall exhibition named Embankment, Rachel Whiteread made use of 14,000 boxes. She cited the ending scenes of two films as visual precursors. If Citizen Kane was one, **which 1981 film**, a *marauder* of the box-office, was the other?	https://i.imgur.com/KStjBGB.jpg	**Raiders of the Lost Ark** (Prompt: Indiana Jones)  <br> <img src='https://i.imgur.com/RmULm3M.jpg' height='400px'>
Round 6 Player 2	Question 1	Ectrodactyly (absence of one or more digits) can present with clefting in the hand or foot. This is also known as _______ (7) Claw Deformity after its resemblance to the appendages of a creature. **What creature**? (7) 	https://i.imgur.com/WlLnsQz.jpg	**Lobster** Claw Deformity <br> <img src='https://i.imgur.com/NntRhpB.png' height='400px'>
Round 6 Player 2	Question 2	**Which retired Formula One driver** won the 2014 Race of Champions held in Barbados? Nicknamed *DC*, this Scottish racer turned television presenter finished runner up in the 2001 Driver's Championship while racing for McLaren. 		David **Coulthard**
Round 6 Player 3	Question 1	**Which trainee** from a 21st century media franchise is the subject of this Macy’s Parade balloon? His name comes from the ability to retract a physical feature, thereby giving the illusion of its absence. 	https://i.imgur.com/IjZrcpX.jpg	**Toothless** (Grudingly Accept: Dragon from **How to Train Your Dragon**)
Round 6 Player 3	Question 2	In the top left corner of this section of Children's Games, we see a blindfolded boy holding a stick akin to **which game** now associated with Latin America, particularly Mexico? It involves the eponymous decorated papier-mache or cloth figure (typically of an animal) stuffed with toys and sweets suspended from a height and broken open by blindfolded children as part of a celebration. 	https://i.imgur.com/BjXuOf8.jpg	**Piñata**
Round 6 Player 4	Question 1	By **what term of endearment** are such off-the-shoulder necklines known, due to the visual resemblance of its contour to a symbol of love?	https://i.imgur.com/9fEvyAo.png	**Sweetheart** (Prompt: Heart)
Round 6 Player 4	Question 2	**Which 6-letter contronymous verb** can mean EITHER affix something with a clasp or a belt OR to collapse or bend under pressure?		**Buckle**
Round 7 Player 1	Question 1	By **what name** do we know the 'asabikeshiinh', a protective charm of the First Nations traditionally made of a willow hoop on which was woven a network of webs as a tribute to the folk figure Spider Grandmother? Now misappropriated and commercialised, they were previously hung by mothers, with the web meant to ensnare evil spirits hoping to disturb their sleeping children.	https://i.imgur.com/Afj5FkB.jpg	**Dreamcatcher**
Round 7 Player 1	Question 2	The Martha Mitchell Effect is used to refer to someone diagnosed as delusional or paranoid for making seemingly improbable, yet true claims. Martha Mitchell, the wife of the US Attorney General John Mitchell, was also nicknamed _________ (9) of Watergate, as her initial, accurate claims about Watergate were dismissed as the ravings of a crazy person by the Republicans. **Fill in the blank with a mythological figure** (9).		**Cassandra**
Round 7 Player 2	Question 1	**Which 2019 movie** based on a 2014 non-fiction book were these costumes by Sandy Powell created for? While the movie is named after the titular character's ethnicity, the book's title is derived from the first conversation that he had with someone who would later become his most famous victim. The 'Paint' in the book's title is a reference to blood splatter.	https://i.imgur.com/2bXDQ3O.png	The **Irishman** based on the book "I Heard You Paint Houses" <br> <img src='https://i.imgur.com/YQwLjgi.png' height='400px'>
Round 7 Player 2	Question 2	Tacita Dean’s Turbine Hall project named Film sought to explore the analogue medium of film. It was exhibited as an ~11 min long video with allusions to numerous sources. **What image**, in existence since 1912 and of *supreme importance* to a corporate entity, is this screenshot from the project hinting at? 	https://i.imgur.com/kznnhxp.jpg	**Paramount** Pictures logo
Round 7 Player 3	Question 1	Louise Bourgeois, typically fond of stainless steel and bronze, turned instead to white marble to create 32 of **what kind of objects**, zealously guarded by and stored inside her monumental ode to motherhood, Maman? 	https://i.imgur.com/t4NNFIV.jpg	**Eggs**; They are kept in Maman's abdominal sack. <br> <img src='https://i.imgur.com/fuZ0eLm.jpg' height='400px'>
Round 7 Player 3	Question 2	**Which soup**, whose name literally translates to *pepper-water* in a South Indian language, does Elaine Benes order at the Soup Nazi's stand? Originally based on the rasam, this soup's recipe evolved to suit the British palette and now includes vegetables, meat and lentils.	https://i.imgur.com/EkAOlDd.png	**Mulligatawny**
Round 7 Player 4	Question 1	Vivian Fernandes spent his childhood in a Mumbai slum accompanying his grandma to church for mass. Eventually he'd start writing his own verse, before being introduced to gospel rap. **What adjective** did he adopt as his *holy* stage name to remember the origins of his craft?		**Divine**
Round 7 Player 4	Question 2	Founded by Whitney Wolfe Herd and borrowing its structure from bees - with women having the greater agency in whom they choose to interact with - **which application's** website has a 404 page depicting a hive in disarray?	https://i.imgur.com/FWVSAyM.png	**Bumble**
Round 8 Player 1	Question 1	Towards the right of this section of Children's Games, we see two boys playing **which game** where the objective is for a single player to remain on top of a large mound or similar feature as its "____" (4)? Rivals attempt to remove the player and take their place, thus becoming the new ____ (4). The blank is part of the answer.	https://i.imgur.com/S4MV9ZN.jpg	**King of the Hill** (Accept: **King of the Castle**, **King of the Mountain** and other similar variants)
Round 8 Player 1	Question 2	As a part of an elaborate fraud, Japanese archaeologist Shinichi Fujimura purportedly “found” objects from the Paleolithic period (300,000 to 35,000 BCE) in the Miyagi Prefecture. However in the year 2000, he was caught burying antiquarian stone tools from **which prehistoric period of Japan** that dates from 14,000 - 300 BCE in deeper layers of soil to make them seem like Paleolithic tools?		**Jōmon**
Round 8 Player 2	Question 1	**Which island** served as Hergé's primary inspiration for the island of Pulau-Pulau Bomba in Flight 714 to Sydney? The third largest island in the world, this biodiversity-rich location is home to the proboscis monkey. Hergé accurately depicts the location of this island in the Celebes Sea, but the volcanic eruption triggered by Rastapopoulos would be unlikely as the island consists of primarily extinct volcanoes.	https://i.imgur.com/uiMuyTk.png	**Borneo**
Round 8 Player 2	Question 2	In her essay My Precious, literary scholar Alison Milbank explores sexuality in The Lord of the Rings. She analyses the monstrous, tunnel-dwelling arachnoid Shelob, who paralyses Frodo and robs him of his sword, thereby symbolically emasculating him. Thus, to **what Freudian construct** (6,7), ______ _______ (6,7) - also the basis of a body horror film called Teeth - does Milbank compare Shelob? 	https://i.imgur.com/5nQNjub.jpg	**Vagina Dentata**
Round 8 Player 3	Question 1	**Which former Formula One driver** won the 2012 Race of Champions held in Bangkok? This former Haas driver exited the sport after a horrific crash at the 2020 Bahrain Grand Prix. It bolstered support for the 'halo' in the sport, which allowed this 10-time podium finisher to escape with his life. 		Romain **Grosjean**
Round 8 Player 3	Question 2	An application of AI systems is to act as obscenity and spam filters for communication tools. However, a limitation of the AI’s lack of context causes the unintended effect of blocking emails and users due to obscenities appearing as substrings in the text. This problem is named after **which English town** which faced similar problems when AOL didn’t allow users to input the name of this 'Industrial Garden Town' as a location?		**Scunthorpe** Problem
Round 8 Player 4	Question 1	**Which soup**, a version of a rice dish influenced by French, Spanish and West African culture, does Newman order at the Soup Nazi's stand? This Louisiana-born dish gets its name from the Provençal word meaning 'mish-mash' owing to its motley blend of ingredients.	https://i.imgur.com/QlzMkks.jpg	**Jambalaya** <br> <img src='https://i.imgur.com/BcNbIlQ.gif ' height='400px'>
Round 8 Player 4	Question 2	**Which satyr from Greek mythology** was this exhibit designed by Anish Kapoor and displayed at the Tate Modern’s Turbine Hall named after? The PVC membrane sculpture, which Kapoor described as being "rather like a flayed skin", hints at the Satyr’s story where he was flayed alive by Apollo. 	https://i.imgur.com/A3PgCLh.jpg	**Marsyas**
Spare 	Question 1	A recent biographical TV series about Watergate from the perspective of Martha Mitchell is named after the past tense of **which term** that is defined as "to manipulate (someone) by psychological means into doubting their own sanity"? The term is derived from a 1944 psychological thriller film that follows a young woman whose husband slowly manipulates her into believing that she is descending into insanity.		**Gaslight** OR ** Gaslit** OR **Gaslighting** <br> <img src='https://i.imgur.com/t6tqF4b.png' height='400px'>
Spare 	Question 2	**Which 8-letter contronymous adjective** can mean EITHER something that is fresh and inventive OR something that is in the same form as the beginning or belonging to the beginning of something?		**Original**
